state,longitude,latitude
ANDAMAN & NICOBAR ISLANDS,92.5771329,10.2188344
ARUNACHAL PRADESH,96.4597226,27.6891712
ASSAM & MEGHALAYA,91.900605,25.5776196
NAGA MANI MIZO TRIPURA,92,24
SUB HIMALAYAN WEST BENGAL & SIKKIM,88.5,27.75
GANGETIC WEST BENGAL,88,24
ORISSA,84.6897321,20.5431241
JHARKHAND,85.2557301,23.4559809
BIHAR,85.906508,25.6440845
EAST UTTAR PRADESH,78.0859917,27.9450973
WEST UTTAR PRADESH,80.859666,27.1303344
UTTARAKHAND,79.3217666,30.091936
HARYANA DELHI & CHANDIGARH,76.7884,30.73629
PUNJAB,75.5004841,30.9293211
HIMACHAL PRADESH,77.3493205,31.8167602
JAMMU & KASHMIR,75.06152,33.5574473
WEST RAJASTHAN,73.7684549,26.8105777
EAST RAJASTHAN,73.7684549,26.8105777
WEST MADHYA PRADESH,79.3948695,23.9699282
EAST MADHYA PRADESH,79.3948695,23.9699282
GUJARAT REGION,79,22
SAURASHTRA & KUTCH,70,23.58333
KONKAN & GOA,73.7529169,15.6337093
MADHYA MAHARASHTRA,72.9965199,19.0667958
MATATHWADA,79,22
VIDARBHA,79.039632,21.0135768
CHHATTISGARH,81.8406351,21.6637359
COASTAL ANDHRA PRADESH,83.3194539,17.72744
TELANGANA,79.1151663,17.8495919
RAYALSEEMA,78.0635015,15.7746175
TAMIL NADU,78.3665347,10.9094334
COASTAL KARNATAKA,74.8137276,12.9601467
NORTH INTERIOR KARNATAKA,77.7660547,13.0217151
SOUTH INTERIOR KARNATAKA,77.7662364,13.0175173
KERALA,76.5120396,10.3528744
LAKSHADWEEP,72.8171069,10.8832771
