Year,Day,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep
2012,01,0.0,10.3,25.7,33.8,54.5,74.4,92.3,100.9,107.7,115.0,116.7,116.7
2012,02,0.0,10.3,25.7,34.6,55.2,74.6,93.1,101.4,108.3,115.0,116.7,116.7
2012,03,0.4,10.8,25.7,34.8,55.2,75.4,93.1,101.6,108.4,115.0,116.7,116.7
2012,04,0.8,10.8,25.7,34.9,55.2,75.6,93.5,102.7,108.4,115.7,116.7,116.7
2012,05,1.0,10.8,25.7,35.6,55.2,75.6,93.5,103.2,109.2,115.8,116.7,116.7
2012,06,1.5,10.8,25.8,35.7,55.2,76.0,93.8,103.4,109.4,115.8,116.7,116.7
2012,07,1.8,11.0,25.8,35.8,55.2,76.0,94.0,103.5,109.5,115.8,116.7,116.7
2012,08,1.8,11.0,25.8,36.3,55.4,76.1,94.1,103.5,110.6,115.8,116.7,116.7
2012,09,2.0,11.2,25.8,36.3,55.8,76.1,94.2,103.5,111.0,115.8,116.7,116.7
2012,10,2.0,11.2,25.8,36.3,56.4,76.2,94.2,103.5,111.6,115.8,116.7,116.7
2012,11,3.3,11.2,25.8,36.3,56.6,76.9,94.2,103.5,111.7,115.8,116.7,116.7
2012,12,5.0,11.9,25.8,36.3,56.8,77.6,94.3,103.5,111.7,115.8,116.7,116.7
2012,13,5.0,12.8,25.8,36.4,57.0,79.4,94.3,103.5,112.0,115.8,116.7,116.9
2012,14,5.0,13.2,25.8,36.4,57.1,79.9,94.3,103.5,112.0,115.8,116.7,116.9
2012,15,5.2,13.7,26.0,37.1,57.2,81.2,94.3,103.5,112.0,115.9,116.7,116.9
2012,16,5.2,14.3,26.3,37.7,57.3,82.9,94.4,103.5,112.0,115.9,116.7,116.9
2012,17,5.2,15.9,26.5,38.7,57.6,82.9,95.3,103.5,112.4,115.9,116.7,116.9
2012,18,5.3,16.6,26.5,40.2,58.4,83.5,95.3,103.5,112.8,115.9,116.7,116.9
2012,19,5.3,17.1,26.5,42.5,61.3,83.9,95.4,103.5,113.2,115.9,116.7,116.9
2012,20,5.3,17.5,26.6,44.8,61.3,84.3,97.8,103.5,113.3,115.9,116.7,116.9
2012,21,5.3,17.7,26.6,45.5,62.5,86.1,98.0,104.2,113.3,116.6,116.7,116.9
2012,22,6.0,18.3,26.6,46.6,68.7,86.7,98.2,105.4,113.4,116.6,116.7,116.9
2012,23,8.2,21.9,26.6,47.4,69.9,86.8,98.3,106.0,114.2,116.6,116.7,116.9
2012,24,8.2,23.1,26.6,47.4,69.9,86.8,98.3,107.0,114.5,116.7,116.7,116.9
2012,25,8.2,23.7,26.7,49.7,70.8,86.8,98.4,107.0,114.5,116.7,116.7,116.9
2012,26,8.2,24.2,27.1,50.6,72.4,86.8,98.8,107.0,114.6,116.7,116.7,116.9
2012,27,8.3,24.5,27.4,51.1,72.5,86.8,99.5,107.0,114.6,116.7,116.7,116.9
2012,28,8.3,24.9,29.2,51.1,72.5,87.8,99.7,107.0,114.6,116.7,116.7,116.9
2012,29,9.3,25.2,31.8,51.2,72.9,88.5,99.7,107.0,114.7,116.7,116.7,116.9
2012,30,9.3,25.5,33.0,53.9,,90.8,99.8,107.0,114.7,116.7,116.7,116.9
2012,31,10.2,,33.3,54.2,,91.3,,107.0,,116.7,116.7,
2013,01,0.0,18.7,34.5,56.8,71.1,83.9,94.6,108.1,114.3,117.8,118.4,120.8
2013,02,0.0,19.3,35.1,56.8,71.1,84.0,94.6,108.1,114.4,117.8,118.6,120.8
2013,03,0.0,19.4,37.1,56.8,71.1,84.2,94.6,108.1,114.4,117.8,118.9,120.8
2013,04,0.0,20.0,38.1,56.9,71.1,84.2,94.6,108.1,114.4,117.8,118.9,120.8
2013,05,0.0,20.6,39.0,57.2,71.3,84.2,95.6,108.1,114.4,117.8,118.9,120.8
2013,06,0.0,20.6,39.1,57.6,72.1,84.3,96.6,108.1,114.4,117.9,118.9,122.1
