Year,Day,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep
2014,01,0.0,5.3,17.1,28.6,46.3,70.1,94.8,105.1,111.5,115.9,118.5,121.2
2014,02,0.8,5.4,20.5,28.7,46.5,70.4,94.8,105.1,111.5,115.9,118.5,121.2
2014,03,1.0,6.7,20.6,29.3,46.7,72.2,94.8,105.1,111.5,115.9,118.5,121.4
2014,04,1.1,7.2,20.6,29.3,46.9,73.9,94.9,105.4,111.5,115.9,118.5,121.7
2014,05,1.1,7.7,20.6,29.3,46.9,74.5,95.4,106.2,111.5,115.9,118.5,121.8
2014,06,1.3,8.4,20.6,29.7,46.9,78.7,95.9,106.8,111.5,115.9,118.5,121.8
2014,07,1.3,9.2,20.6,30.0,47.0,81.2,96.6,107.2,111.5,115.9,118.5,121.8
2014,08,2.0,10.8,20.6,30.7,47.3,81.2,96.6,107.2,111.5,115.9,118.5,121.8
2014,09,2.8,11.0,20.9,32.5,47.6,83.4,97.1,108.2,111.5,115.9,118.5,121.8
2014,10,2.9,11.3,20.9,33.9,47.8,84.2,97.1,109.0,111.6,115.9,118.5,121.8
2014,11,3.0,11.4,21.9,36.1,49.7,85.1,97.1,109.8,111.6,116.0,118.5,121.8
2014,12,3.1,11.5,22.0,38.1,52.0,85.4,97.1,109.8,111.6,116.0,118.5,121.8
2014,13,3.3,11.8,22.7,41.4,53.5,85.4,97.2,109.8,111.8,116.0,119.2,121.8
2014,14,3.3,11.8,22.8,42.2,54.5,85.4,97.2,109.8,112.5,116.0,120.2,121.8
2014,15,3.4,12.0,22.8,42.4,55.6,86.4,97.2,109.8,112.8,116.0,120.5,121.8
2014,16,3.4,13.2,22.8,42.4,56.9,86.8,97.3,109.8,113.0,116.0,120.5,121.9
2014,17,3.5,13.9,22.8,42.4,58.8,88.2,98.2,109.8,113.4,116.0,120.5,121.9
2014,18,3.5,14.7,22.8,42.4,61.7,88.5,99.0,109.8,113.6,116.0,120.5,121.9
2014,19,3.5,15.9,22.8,42.4,63.5,88.7,99.3,110.1,113.6,116.0,120.5,121.9
2014,20,3.5,16.3,22.8,42.4,65.3,89.0,99.7,110.1,113.7,116.2,120.5,121.9
2014,21,3.5,16.3,26.2,42.4,67.5,89.2,100.0,110.1,113.7,116.2,120.5,122.0
2014,22,3.5,16.4,26.8,42.4,67.6,89.4,100.2,110.1,113.8,116.2,120.5,122.0
2014,23,3.5,16.5,27.2,42.4,68.3,89.4,100.7,110.2,113.8,116.6,120.5,122.0
2014,24,3.5,16.5,27.9,42.4,69.2,89.4,102.0,110.3,113.8,118.2,120.5,122.4
2014,25,3.5,16.5,28.0,42.4,70.1,89.4,103.2,110.3,113.8,118.4,120.6,123.2
2014,26,3.5,16.5,28.0,42.4,70.1,90.0,103.4,110.5,113.9,118.5,120.7,123.5
2014,27,3.5,16.5,28.1,42.4,70.1,90.4,103.6,111.0,114.0,118.5,120.7,124.6
2014,28,3.5,16.5,28.1,42.4,70.1,90.8,104.7,111.1,115.4,118.5,120.8,124.7
2014,29,3.5,16.5,28.1,43.2,,92.6,105.0,111.5,115.8,118.5,120.8,124.7
2014,30,3.5,16.5,28.1,44.7,,94.3,105.1,111.5,115.9,118.5,120.8,124.8
2014,31,3.7,,28.4,45.8,,94.8,,111.5,,118.5,121.1,
2015,01,0.0,16.6,38.7,57.0,69.6,81.9,94.1,98.9,101.6,102.2,102.7,106.0
