Year,Day,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep
2014,01,2.6,0.8,6.8,15.7,34.5,57.0,81.1,94.2,83.4,52.5,0.0,0.0
2014,02,3.0,0.6,7.8,15.8,34.7,57.6,81.3,93.5,82.6,49.8,0.0,0.0
2014,03,3.1,1.1,8.8,16.4,34.9,59.4,81.5,92.8,82.3,47.4,0.0,0.0
2014,04,3.0,1.7,8.9,16.3,35.1,61.1,82.0,92.9,80.7,45.9,0.0,0.0
2014,05,2.8,2.0,9.1,16.4,35.1,62.7,82.3,93.6,79.8,44.0,0.0,0.0
2014,06,2.6,2.5,9.0,16.8,35.4,64.9,83.8,93.7,78.9,42.3,0.0,0.0
2014,07,2.4,2.9,8.7,17.1,36.8,64.1,83.6,94.0,77.9,39.9,0.0,0.0
2014,08,2.7,3.7,8.1,17.8,37.1,64.3,83.7,93.7,77.0,37.5,0.0,0.0
2014,09,3.1,3.7,8.7,19.6,38.4,68.0,84.1,94.9,76.2,35.1,0.0,0.0
2014,10,3.0,3.9,9.5,21.0,38.8,66.0,82.4,94.7,75.4,32.7,0.0,0.0
2014,11,3.0,3.7,10.5,23.2,40.3,66.4,82.3,95.3,74.3,30.5,0.0,0.0
2014,12,2.9,3.7,11.2,25.2,41.5,67.0,82.6,95.4,72.8,28.5,0.0,0.0
2014,13,3.0,3.4,12.4,28.5,41.5,67.5,82.7,95.3,71.9,25.6,0.0,0.0
2014,14,2.6,3.3,12.5,29.3,42.5,68.0,82.9,95.1,71.8,23.3,0.0,0.0
2014,15,2.3,3.5,11.9,29.8,43.6,68.3,82.9,94.5,71.0,20.4,0.0,0.0
2014,16,2.2,5.3,11.4,30.1,44.9,69.9,83.1,94.3,70.2,17.4,0.0,0.0
2014,17,2.0,6.5,11.1,30.4,46.8,71.3,84.4,93.2,70.2,14.1,0.0,0.0
2014,18,1.9,6.9,10.9,30.4,49.7,71.6,85.6,92.1,69.6,10.8,0.0,0.0
2014,19,1.9,7.7,10.9,30.5,51.5,72.1,85.4,91.7,68.5,6.3,0.0,0.0
2014,20,1.7,7.3,10.8,30.7,53.3,73.3,86.4,91.0,67.5,3.5,0.0,0.0
2014,21,1.7,7.3,14.4,30.8,55.5,73.7,86.6,90.4,66.1,2.0,0.0,0.0
2014,22,1.4,7.5,15.0,31.0,55.6,74.0,87.3,90.1,64.6,1.0,0.0,0.0
2014,23,1.1,7.3,14.9,31.0,56.3,74.3,87.9,90.3,63.1,0.2,0.0,0.0
2014,24,0.7,7.1,15.0,31.1,57.2,74.6,89.6,89.2,61.7,0.0,0.0,0.0
2014,25,0.6,6.8,15.2,31.2,56.4,75.1,90.8,87.6,60.5,0.0,0.0,0.0
2014,26,0.6,6.6,15.5,31.2,55.7,76.2,91.2,87.1,59.1,0.0,0.0,0.0
