Year,Day,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep
2014,01,34,40,36,36,25,29,34,57,47,63,66,47
2014,02,35,33,22,38,24,33,32,49,51,58,66,45
2014,03,34,27,17,24,19,33,33,36,44,46,66,42
2014,04,39,28,14,26,11,34,32,35,46,50,66,51
2014,05,50,34,13,37,-1,38,33,35,46,54,58,57
2014,06,51,34,6,42,3,33,38,35,48,57,54,60
2014,07,36,35,5,33,16,33,45,39,48,60,53,59
2014,08,33,31,11,33,19,37,41,37,49,61,51,51
2014,09,36,32,18,28,27,36,32,33,45,57,55,45
2014,10,35,41,23,31,32,31,35,34,41,57,67,49
2014,11,35,45,30,31,32,31,37,40,49,64,71,44
2014,12,35,41,33,29,33,37,36,46,44,69,61,52
2014,13,36,35,33,33,29,36,41,52,37,68,53,55
2014,14,41,31,34,33,31,32,42,57,38,63,51,58
2014,15,44,29,35,34,30,38,33,58,38,66,51,63
2014,16,45,26,35,41,26,34,34,46,35,65,54,59
2014,17,45,31,38,51,28,25,35,41,38,55,56,57
2014,18,50,35,27,45,28,29,30,38,42,53,63,49
2014,19,50,31,20,40,24,29,34,40,47,54,56,50
2014,20,53,23,26,42,28,26,35,45,42,46,48,59
2014,21,56,27,31,43,26,26,41,45,46,50,48,63
2014,22,56,38,33,35,23,30,30,52,53,51,50,55
2014,23,54,44,32,38,30,33,33,45,54,46,55,52
2014,24,53,49,28,49,35,42,34,42,47,43,53,47
2014,25,49,44,35,44,34,35,32,41,51,50,56,45
2014,26,46,42,38,44,38,31,31,40,46,55,60,44
2014,27,36,43,38,39,37,31,30,39,44,62,60,47
2014,28,36,41,30,38,34,33,33,36,44,65,53,52
2014,29,34,35,33,33,,32,43,38,42,64,50,45
2014,30,33,34,39,27,,30,51,48,53,62,46,40
2014,31,38,,32,28,,32,,48,,65,44,
2015,01,39,33,27,36,35,32,29,45,47,65,67,46
2015,02,43,34,31,31,34,29,30,42,41,68,64,41
2015,03,54,40,33,26,33,27,30,48,42,65,58,39
2015,04,53,40,38,32,36,34,29,44,45,65,53,38
2015,05,55,44,40,38,40,38,32,32,55,67,48,38
2015,06,57,42,35,46,39,42,32,33,60,65,49,40
2015,07,55,35,38,50,36,42,34,40,63,61,55,44
2015,08,49,45,42,46,37,45,34,49,64,68,54,49
2015,09,53,36,42,41,37,43,36,52,60,65,55,53
2015,10,50,31,40,36,36,48,38,50,54,53,60,62
2015,11,42,19,36,33,42,39,28,38,52,49,65,66
2015,12,41,16,33,33,45,40,30,38,44,52,66,61
2015,13,50,19,30,37,47,46,33,36,47,52,63,47
2015,14,41,22,29,40,36,39,28,42,56,53,50,38
2015,15,38,22,29,37,38,36,31,40,59,52,44,37
2015,16,41,37,30,31,36,34,43,39,53,48,51,41
2015,17,44,43,34,38,40,35,46,46,52,55,56,42
2015,18,48,45,34,33,39,35,46,49,53,64,64,44
2015,19,52,44,31,30,34,41,49,48,45,65,62,47
2015,20,43,35,35,29,33,42,51,53,50,58,52,51
2015,21,39,35,34,35,31,33,41,54,54,48,45,44
2015,22,41,29,31,37,30,33,32,46,52,46,56,42
2015,23,36,30,35,41,37,31,31,43,52,49,60,47
2015,24,37,31,28,43,36,30,31,43,53,50,54,53
2015,25,41,40,26,50,31,36,31,43,61,46,56,48
2015,26,33,41,25,52,34,47,35,44,69,43,62,40
2015,27,34,38,29,39,32,48,49,51,73,45,60,42
2015,28,40,35,26,36,30,35,43,57,69,53,56,51
2015,29,41,19,18,42,,39,35,58,64,63,49,56
2015,30,44,20,15,42,,43,41,54,62,69,43,53
2015,31,38,,28,40,,31,,58,,69,44,
