Year,Day,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep
2012,01,0.0,0.2,15.5,24.4,44.9,64.5,82.2,81.4,75.8,55.8,0.0,0.0
2012,02,0.2,0.8,15.7,24.7,45.6,64.7,83.0,81.5,75.0,54.4,0.0,0.0
2012,03,0.3,1.0,15.8,25.3,45.6,65.5,83.0,81.3,73.6,53.6,0.0,0.0
2012,04,0.3,1.1,15.8,25.4,45.6,65.7,83.4,82.6,73.3,52.6,0.0,0.0
2012,05,0.3,1.1,15.9,26.4,45.5,65.5,83.4,82.9,72.7,51.7,0.0,0.0
2012,06,0.3,1.2,16.0,26.3,45.4,66.1,83.7,83.0,73.0,50.3,0.0,0.0
2012,07,0.3,1.2,16.1,26.4,45.5,66.1,83.9,83.1,72.7,48.7,0.0,0.0
2012,08,0.0,1.2,16.3,26.7,45.6,66.2,84.0,83.8,72.4,46.4,0.0,0.0
2012,09,0.0,1.2,16.3,26.8,46.2,66.2,84.1,84.3,72.9,43.9,0.0,0.0
2012,10,0.0,1.2,16.3,27.0,46.9,66.3,82.3,84.0,73.2,41.0,0.0,0.0
2012,11,0.0,1.3,16.4,27.0,46.9,67.0,82.3,83.6,72.2,39.2,0.0,0.0
2012,12,0.0,2.0,16.4,27.1,47.2,67.7,82.6,83.1,71.4,37.4,0.0,0.0
2012,13,0.0,3.1,16.4,27.1,47.3,69.5,82.0,83.0,71.0,35.4,0.0,0.0
2012,14,0.0,4.4,16.6,27.1,47.3,70.0,81.5,82.9,70.4,33.4,0.0,0.0
2012,15,0.0,5.0,16.8,27.8,47.3,71.3,81.2,82.3,69.6,31.3,0.0,0.0
2012,16,0.0,5.0,17.4,28.4,47.3,73.0,82.0,81.5,68.8,29.4,0.0,0.0
2012,17,0.0,5.1,17.3,29.4,47.7,72.9,84.1,80.7,68.6,27.7,0.0,0.0
2012,18,0.0,7.2,17.3,30.9,48.5,73.6,82.2,80.2,67.4,25.1,0.0,0.0
2012,19,0.0,7.7,17.4,33.2,51.4,74.0,81.5,79.8,66.5,22.4,0.0,0.0
2012,20,0.0,8.4,17.5,35.5,51.4,74.4,84.4,79.1,66.1,20.4,0.0,0.0
2012,21,0.0,8.5,17.5,36.2,52.6,76.2,82.6,79.1,64.9,18.7,0.0,0.0
2012,22,0.0,10.0,17.4,37.3,58.8,76.8,81.3,79.1,63.5,16.4,0.0,0.0
2012,23,0.0,12.2,17.3,38.1,60.2,76.9,82.0,79.1,63.3,14.9,0.0,0.0
2012,24,0.0,12.2,17.1,38.0,60.0,76.9,81.2,79.9,62.3,14.0,0.0,0.0
2012,25,0.0,13.6,17.1,40.3,60.9,76.7,80.5,79.6,61.7,11.8,0.0,0.0
2012,26,0.0,14.0,18.0,41.2,62.5,76.2,80.4,79.0,61.1,9.2,0.0,0.0
2012,27,0.2,14.2,18.5,41.7,62.7,76.7,80.6,78.7,60.3,5.6,0.0,0.0
2012,28,0.2,14.7,20.1,41.7,62.6,77.7,80.1,78.3,59.2,0.0,0.0,0.0
