Year,Day,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep
2012,01,44,31,35,35,29,23,27,30,47,46,52,45
2012,02,43,40,27,37,32,28,34,32,40,45,51,46
2012,03,41,28,29,35,35,34,33,33,40,39,60,49
2012,04,38,24,31,39,33,34,28,31,42,45,68,54
2012,05,35,26,34,26,35,27,26,31,34,52,69,57
2012,06,36,29,35,22,35,20,26,38,34,58,65,58
2012,07,39,30,31,29,33,26,30,48,37,64,64,62
2012,08,41,33,39,35,35,41,38,47,35,67,52,63
2012,09,42,38,46,36,38,40,45,31,34,63,55,46
2012,10,41,40,34,25,38,32,45,33,40,57,53,41
2012,11,38,35,24,32,31,26,35,42,49,60,61,42
2012,12,35,28,23,40,29,28,33,51,45,58,66,52
2012,13,39,30,31,39,28,21,34,57,37,55,63,61
2012,14,41,27,30,26,25,27,35,60,40,59,57,61
2012,15,43,25,30,18,25,33,37,52,47,48,64,54
2012,16,40,31,34,17,32,29,34,43,50,55,66,57
2012,17,45,26,43,19,32,26,31,37,43,60,69,62
2012,18,50,22,32,29,26,24,33,36,37,55,69,62
2012,19,45,21,30,33,22,23,36,42,38,63,59,64
2012,20,40,22,31,34,30,26,36,43,49,49,55,68
2012,21,42,31,24,27,33,24,46,42,54,51,51,58
2012,22,44,35,36,26,29,26,56,35,45,46,46,43
2012,23,38,32,33,24,25,27,54,34,40,42,44,48
2012,24,32,26,39,31,30,34,42,36,41,56,47,52
2012,25,32,26,34,29,22,36,41,42,44,61,57,45
2012,26,34,37,26,24,20,31,33,44,38,60,57,53
2012,27,38,36,34,22,20,34,32,41,48,51,51,57
2012,28,41,28,36,30,22,30,37,38,52,50,49,54
2012,29,35,30,31,35,22,33,39,37,49,51,44,48
2012,30,41,28,28,30,,30,33,44,49,49,48,49
2012,31,31,,23,31,,32,,45,,50,47,
2013,01,54,38,32,30,33,38,43,37,46,70,49,61
2013,02,42,40,31,34,40,34,38,47,42,62,46,56
2013,03,41,42,33,35,31,24,42,48,46,55,53,54
2013,04,42,46,35,33,33,27,41,50,53,46,60,55
2013,05,43,44,26,33,30,32,35,53,54,45,61,51
2013,06,47,47,28,28,29,29,32,56,53,52,61,47
2013,07,54,30,26,33,25,29,31,52,47,54,59,50
2013,08,50,28,24,33,22,29,31,51,47,53,57,54
2013,09,51,24,29,27,26,30,33,55,44,61,62,57
2013,10,48,21,32,20,28,30,35,58,42,54,57,64
2013,11,52,28,29,16,27,33,30,57,38,47,53,67
2013,12,43,34,25,15,31,36,31,47,38,43,54,67
2013,13,44,34,24,17,31,38,25,38,39,49,58,61
2013,14,46,33,25,20,31,40,28,36,42,57,60,68
2013,15,46,34,22,33,38,36,26,39,53,57,55,61
2013,16,34,37,27,39,31,30,28,42,51,62,57,47
2013,17,35,34,24,41,24,23,31,38,49,56,55,42
2013,18,49,31,20,40,25,27,33,36,44,58,54,41
2013,19,42,36,26,43,26,31,35,38,40,61,53,50
2013,20,29,33,27,46,24,30,34,46,38,58,53,52
2013,21,30,28,27,44,26,23,33,35,42,56,62,45
2013,22,30,29,28,44,27,21,34,32,50,56,62,40
2013,23,30,37,26,36,24,23,37,34,48,61,54,39
2013,24,30,31,25,30,26,27,42,36,44,60,50,36
2013,25,31,29,25,32,25,33,44,38,45,60,49,36
2013,26,34,34,29,27,26,37,47,41,46,60,50,37
2013,27,38,42,26,26,30,37,40,39,51,52,54,39
2013,28,42,41,26,26,35,37,35,39,61,50,55,42
2013,29,42,36,24,31,,39,29,36,60,54,52,36
2013,30,44,36,24,33,,45,27,36,67,55,52,34
2013,31,43,,24,33,,48,,41,,58,60,
